_state,id,created_at,updated_at,is_active,is_deleted,name
<django.db.models.base.ModelState object at 0x00000292FC7CC1A0>,1,2025-06-11 16:15:47.841380+00:00,2025-06-11 16:15:47.841400+00:00,True,False,Shape
<django.db.models.base.ModelState object at 0x00000292FB7696D0>,2,2025-06-11 16:15:47.877037+00:00,2025-06-11 16:15:47.877051+00:00,True,False,Material
<django.db.models.base.ModelState object at 0x00000292FB769950>,3,2025-06-11 16:15:47.885821+00:00,2025-06-11 16:15:47.885845+00:00,True,False,Color
<django.db.models.base.ModelState object at 0x00000292FB6FF360>,4,2025-06-11 16:15:47.893913+00:00,2025-06-11 16:15:47.893935+00:00,True,False,Length
<django.db.models.base.ModelState object at 0x00000292FB6FF5C0>,5,2025-06-11 16:15:47.900897+00:00,2025-06-11 16:15:47.900914+00:00,True,False,Width
<django.db.models.base.ModelState object at 0x00000292FB7C1250>,6,2025-06-11 16:15:47.911100+00:00,2025-06-11 16:15:47.911114+00:00,True,False,Diameter
<django.db.models.base.ModelState object at 0x00000292FB61D8C0>,7,2025-06-11 16:15:47.918061+00:00,2025-06-11 16:15:47.918090+00:00,True,False,Base Curve
<django.db.models.base.ModelState object at 0x00000292FB716AD0>,8,2025-06-11 16:15:47.927082+00:00,2025-06-11 16:15:47.927144+00:00,True,False,Lens Type
<django.db.models.base.ModelState object at 0x00000292FB774D50>,9,2025-06-11 16:15:47.934593+00:00,2025-06-11 16:15:47.934608+00:00,True,False,Water Content
<django.db.models.base.ModelState object at 0x00000292FB775C50>,10,2025-06-11 16:15:47.941251+00:00,2025-06-11 16:15:47.941268+00:00,True,False,Replacement Schedule
<django.db.models.base.ModelState object at 0x00000292FB794500>,11,2025-06-11 16:15:47.948845+00:00,2025-06-11 16:15:47.948871+00:00,True,False,Warranty
<django.db.models.base.ModelState object at 0x00000292FB794B90>,12,2025-06-11 16:15:47.957876+00:00,2025-06-11 16:15:47.957900+00:00,True,False,Dimensions
