name,description
TenantOwner,System Owner with full access to all modules and configurations
TenantAdmin,Administrator with access to most modules excluding sensitive tenant billing
BranchManager,Manages a specific branch including sales staff and stock
InventoryManager,Responsible for stock levels purchasing and transfers
SalesClerk,Front desk staff handling sales orders and invoices
Optometrist,Eye doctor/Technician who performs eye tests and creates prescriptions
HRManager,Manages HR processes and staff
FinanceOfficer,Handles invoices payments and financial reporting
CustomerServiceRep,Handles appointments and basic customer queries
CRMSpecialist,Focuses on customer relationships and marketing
Assistant,Assists customers and staff
Guest,Read-only access for temporary users
Customer,End-user access for the customer portal (if applicable)
