brand,model,main_group,category,variant_type,selling_price,color,shape,material,temple,bridge,lens_width,diameter,spherical,cylinder,axis,addition,base_curve,water_content,repl_schedule,units,lens_material,lens_color,product_type_value
RayBan,Aviator,FR,Eyewear,frames,500.00,Yellow,Round,Steel,144,14,58,,,,,,,,,,,,FR-SG
RayBan,Wayfarer,FR,Eyewear,frames,600.00,Black,Square,Plastic,150,22,50,,,,,,,,,,,,FR-SG
Acuvue,Oasys,CL,Eyewear,contactLenses,150.00,,,,,,,14,-02.00,,,,+08.50,50%,1M,10P,Plastic,,CL-Cl
Acuvue,Moist,CL,Eyewear,contactLenses,120.00,,,,,,,14,-01.50,-00.75,180,,+08.50,60%,1M,30P,Plastic,,CL-Cl
Nikon,SeeCoat,SL,Eyewear,stockLenses,200.00,,,,,,,60,-02.00,-00.50,,,,,,,Plastic,,SL-ST
Zeiss,Progressive,SL,Eyewear,rxLenses,800.00,,,,,,,60,,,,+02.00,+08.00,,,,Plastic,,SL-MF
RayBan2,3010,FR,Eyewear,frames,500.00,Yellow,Round,Steel,144,14,58,,,,,,,,,,,,FR-SG
RayBan2,1920,FR,Eyewear,frames,600.00,Black,Square,Plastic,150,22,50,,,,,,,,,,,,FR-SG
Acuvue2,1535,CL,Eyewear,contactLenses,150.00,,,,,,,14,-02.00,,,,+08.50,50%,1M,10P,Plastic,,CL-Cl
Acuvue2,Acuvue2,CL,Eyewear,contactLenses,120.00,,,,,,,14,-01.50,-00.75,180,,+08.50,60%,1M,30P,Plastic,,CL-Cl
Nikon2,Nikon1,SL,Eyewear,stockLenses,200.00,,,,,,,60,-02.00,-00.50,,,,,,,Plastic,,SL-ST
Zeiss2,ClearView,SL,Eyewear,rxLenses,800.00,,,,,,,60,,,,+02.00,+08.00,,,,Plastic,,SL-MF
